Start Lat,Start Long,End Lat,End Long
34.04615,-84.22286,34.046,-84.22275
34.046,-84.22275,34.04545,-84.22237
34.04545,-84.22237,34.04535,-84.2223
34.04535,-84.2223,34.04503,-84.22207
34.04503,-84.22207,34.04468,-84.22183
34.04468,-84.22183,34.04443,-84.22165
34.04443,-84.22165,34.04428,-84.22154
34.04428,-84.22154,34.04408,-84.2214
34.04408,-84.2214,34.04402,-84.22136
34.04402,-84.22136,34.0437,-84.22115
34.0437,-84.22115,34.04349,-84.22101
34.04349,-84.22101,34.04331,-84.22091
34.04331,-84.22091,34.04329,-84.2209
34.04329,-84.2209,34.04318,-84.22083
34.04318,-84.22083,34.0429,-84.22069
34.0429,-84.22069,34.04234,-84.22043
34.04234,-84.22043,34.04214,-84.22034
34.04214,-84.22034,34.04193,-84.22024
34.04193,-84.22024,34.04124,-84.21993
34.04124,-84.21993,34.04079,-84.21973
34.04079,-84.21973,34.04016,-84.21946
34.04016,-84.21946,34.04001,-84.21939
34.04001,-84.21939,34.03988,-84.21932
34.03988,-84.21932,34.03968,-84.21922
34.03968,-84.21922,34.03944,-84.21905
34.03944,-84.21905,34.03906,-84.21878
34.03906,-84.21878,34.03885,-84.21862
34.03885,-84.21862,34.03863,-84.21842
34.03863,-84.21842,34.03846,-84.21824
34.03846,-84.21824,34.03812,-84.21783
34.03812,-84.21783,34.0378,-84.21743
34.0378,-84.21743,34.03721,-84.21667
34.03721,-84.21667,34.03693,-84.21632
34.03693,-84.21632,34.03643,-84.21568
34.03643,-84.21568,34.0363,-84.21551
34.0363,-84.21551,34.03594,-84.21509
34.03594,-84.21509,34.03537,-84.21444
34.03537,-84.21444,34.03529,-84.21435
34.03529,-84.21435,34.03425,-84.21317
34.03425,-84.21317,34.03358,-84.21242
34.03358,-84.21242,34.0332,-84.212
34.0332,-84.212,34.03254,-84.21124
34.03254,-84.21124,34.03221,-84.21088
34.03221,-84.21088,34.03195,-84.21058
34.03195,-84.21058,34.03152,-84.21007
34.03152,-84.21007,34.03124,-84.20972
