Lat,Log
33.9746203,-84.22108655
33.97063219,-84.21559192
33.97063135,-84.20906649
33.9637969,-84.22331989
33.95838539,-84.23053145
33.95653308,-84.21387746
33.95995312,-84.24512154
33.95938348,-84.24958593
33.95738956,-84.24598016
33.95568046,-84.24391983
33.95368644,-84.24100114
33.95439874,-84.25130283
33.94642328,-84.24975746
33.94542597,-84.23877009
33.94143817,-84.23774055
33.93830375,-84.22812776
33.92306416,-84.21405498
33.9195052,-84.22521193
33.91808152,-84.23980041
