StartLat,StartLong,EndLat,EndLong,Congestion
33.9512,-84.24154,33.95146,-84.2417,147
33.95146,-84.2417,33.9512,-84.24154,147
33.94368,-84.24035,33.94348,-84.24015,133
33.94348,-84.24015,33.94368,-84.24035,133
33.94354,-84.24067,33.94368,-84.24035,133
33.9512,-84.24154,33.95092,-84.24137,116
33.95092,-84.24137,33.9512,-84.24154,116
33.96821,-84.25808,33.96849,-84.25851,114
33.96849,-84.25851,33.96821,-84.25808,114
33.95024,-84.2352,33.95017,-84.23498,109
33.95017,-84.23498,33.95024,-84.2352,109
33.97764,-84.21751,33.97772,-84.21772,107
33.97772,-84.21772,33.97764,-84.21751,107
33.95906,-84.24671,33.95929,-84.24696,106
33.95929,-84.24696,33.95906,-84.24671,106
33.95865,-84.24638,33.95906,-84.24671,103
33.96797,-84.25771,33.96821,-84.25808,103
33.96821,-84.25808,33.96797,-84.25771,103
33.95906,-84.24671,33.95865,-84.24638,103
33.9439,-84.24049,33.94368,-84.24035,89
33.94368,-84.24035,33.9439,-84.24049,89
33.931,-84.26492,33.93085,-84.26489,89
33.93085,-84.26489,33.931,-84.26492,89
33.9512,-84.24154,33.9513,-84.24126,88
33.9513,-84.24126,33.9512,-84.24154,88
33.95941,-84.24629,33.95906,-84.24671,84
33.95906,-84.24671,33.95941,-84.24629,84
33.96123,-84.20847,33.96102,-84.20845,82
33.96102,-84.20845,33.96123,-84.20847,82
33.94191,-84.24389,33.94385,-84.24056,82
33.96921,-84.20784,33.96882,-84.20772,81
33.96882,-84.20772,33.96921,-84.20784,81
33.98331,-84.21392,33.98317,-84.21374,78
33.98317,-84.21374,33.98331,-84.21392,78
33.94368,-84.24035,33.94391,-84.23995,77
33.94952,-84.23515,33.95017,-84.23498,76
33.94937,-84.23147,33.94906,-84.232,72
33.95906,-84.24671,33.95843,-84.24749,72
33.95843,-84.24749,33.95906,-84.24671,72
33.96882,-84.20772,33.96849,-84.20764,69
33.96849,-84.20764,33.96882,-84.20772,69
33.98147,-84.21518,33.98054,-84.21582,69
33.94959,-84.23334,33.94946,-84.233,66
33.94946,-84.233,33.94959,-84.23334,66
33.97073,-84.26084,33.97105,-84.26109,66
33.97105,-84.26109,33.97073,-84.26084,66
33.94434,-84.24074,33.94418,-84.24065,66
33.94418,-84.24065,33.94434,-84.24074,66
33.96821,-84.25808,33.96807,-84.25859,66
33.96807,-84.25859,33.96821,-84.25808,66
33.9683,-84.25771,33.96821,-84.25808,64
33.96821,-84.25808,33.9683,-84.25771,64
33.98044,-84.2156,33.98142,-84.21493,64
33.97053,-84.26067,33.97073,-84.26084,61
33.97073,-84.26084,33.97053,-84.26067,61
33.96148,-84.208,33.96123,-84.20847,58
33.96123,-84.20847,33.96098,-84.20893,57
33.95405,-84.23362,33.95349,-84.23391,57
33.9316,-84.26507,33.93119,-84.26496,56
33.93119,-84.26496,33.9316,-84.26507,56
33.96787,-84.23831,33.96762,-84.23843,52
33.96762,-84.23843,33.96787,-84.23831,52
33.96142,-84.20848,33.96123,-84.20847,52
33.96123,-84.20847,33.96142,-84.20848,52
33.96831,-84.23809,33.96787,-84.23831,51
33.96787,-84.23831,33.96831,-84.23809,51
